Gender,Ever_Married,Graduated,Profession,Spending_Score,Var_1,Age,Work_Experience,Family_Size
Male,Yes,No,Entertainment,Low,Cat_4,42,0.0,3.0
Male,No,Yes,Doctor,Low,Cat_6,33,1.0,4.0
Female,Yes,Yes,Artist,Average,Cat_4,39,1.0,4.0
Female,Yes,No,Executive,Low,Cat_3,52,1.0,1.0
Male,Yes,No,Doctor,Low,Cat_6,37,9.0,2.0
Male,Yes,Yes,Executive,High,Cat_6,51,1.0,4.0
Male,No,No,Entertainment,Low,Cat_6,29,1.0,3.0
Male,No,No,Healthcare,Low,Cat_6,22,0.0,5.0
Male,Yes,No,Lawyer,Low,Cat_6,81,1.0,2.0
Female,Yes,Yes,Artist,Average,Cat_6,68,1.0,3.0
Male,No,No,Entertainment,Low,Cat_4,18,0.0,4.0
Male,Yes,No,Artist,Average,Cat_6,50,1.0,3.0
Female,No,Yes,Healthcare,Low,Cat_6,31,1.0,1.0
Female,Yes,Yes,Executive,High,Cat_6,50,4.0,3.0
Female,Yes,No,Marketing,Low,Cat_6,27,1.0,2.0
Male,Yes,No,Executive,High,Cat_6,68,1.0,2.0
Male,No,Yes,Healthcare,Low,Cat_3,29,1.0,2.0
Female,Yes,Yes,Artist,High,Cat_6,45,8.0,3.0
Male,Yes,Yes,Artist,Low,Cat_2,48,8.0,3.0
Male,No,Yes,Artist,Low,Cat_6,48,0.0,1.0
Male,No,Yes,Lawyer,Low,Cat_6,61,1.0,1.0
Male,Yes,Yes,Artist,Average,Cat_6,52,2.0,4.0
Male,Yes,No,Executive,High,Cat_6,45,1.0,3.0
Female,No,No,Artist,Low,Cat_6,30,1.0,8.0
Female,Yes,Yes,Marketing,Low,Cat_6,76,0.0,2.0
Male,Yes,Yes,Lawyer,High,Cat_6,66,1.0,2.0
Male,No,No,Healthcare,Low,Cat_2,20,0.0,5.0
Female,Yes,Yes,Artist,Low,Cat_6,61,0.0,1.0
Male,Yes,No,Executive,High,Cat_3,73,1.0,4.0
Female,Yes,Yes,Artist,High,Cat_6,47,8.0,2.0
Female,No,Yes,Artist,Low,Cat_6,59,0.0,1.0
Male,Yes,No,Marketing,Low,Cat_3,20,3.0,2.0
Male,No,Yes,Entertainment,Low,Cat_6,28,1.0,2.0
Female,Yes,Yes,Executive,High,Cat_6,28,8.0,2.0
Female,Yes,Yes,Engineer,Average,Cat_2,47,9.0,4.0
Female,No,Yes,Artist,Low,Cat_6,55,3.0,1.0
Female,No,No,Healthcare,Low,Cat_6,30,0.0,9.0
Male,No,No,Healthcare,Low,Cat_6,20,1.0,3.0
Female,Yes,Yes,Entertainment,Low,Cat_7,41,9.0,1.0
Female,Yes,No,Homemaker,Low,Cat_5,29,8.0,1.0
Female,No,No,Marketing,Low,Cat_3,28,9.0,2.0
Female,Yes,Yes,Lawyer,High,Cat_6,68,2.0,2.0
Female,No,Yes,Doctor,Low,Cat_4,25,0.0,1.0
Female,Yes,No,Engineer,Average,Cat_6,55,3.0,2.0
Male,Yes,No,Marketing,Low,Cat_7,43,1.0,2.0
Male,No,No,Healthcare,Low,Cat_6,31,0.0,2.0
Male,Yes,No,Artist,Low,Cat_4,46,0.0,3.0
Male,No,Yes,Healthcare,Low,Cat_6,28,0.0,3.0
Female,Yes,Yes,Lawyer,Low,Cat_6,68,3.0,1.0
Female,No,No,Healthcare,Low,Cat_6,19,3.0,3.0
Male,No,Yes,Entertainment,Low,Cat_6,38,0.0,4.0
Female,No,No,Healthcare,Low,Cat_6,23,0.0,2.0
Male,Yes,Yes,Executive,High,Cat_6,45,0.0,4.0
Male,No,Yes,Engineer,Low,Cat_4,28,0.0,5.0
Male,Yes,No,Entertainment,High,Cat_4,19,0.0,3.0
Male,No,Yes,Artist,Low,Cat_4,45,5.0,1.0
Male,Yes,Yes,Executive,High,Cat_4,52,1.0,4.0
Male,Yes,No,Healthcare,Low,Cat_4,23,3.0,4.0
Female,No,No,Healthcare,Low,Cat_4,19,1.0,4.0
Female,No,Yes,Artist,Low,Cat_6,26,8.0,1.0
Male,Yes,Yes,Lawyer,Low,Cat_6,80,1.0,1.0
Female,Yes,No,Engineer,Low,Cat_6,38,9.0,2.0
Male,Yes,Yes,Executive,High,Cat_6,56,1.0,2.0
Female,Yes,Yes,Engineer,Low,Cat_2,49,0.0,1.0
Female,Yes,Yes,Lawyer,High,Cat_6,83,13.0,2.0
Male,No,Yes,Artist,Low,Cat_6,40,5.0,2.0
Female,Yes,Yes,Artist,Average,Cat_6,53,1.0,3.0
Female,No,No,Artist,Low,Cat_6,20,0.0,3.0
Female,No,No,Homemaker,Low,Cat_5,23,0.0,5.0
Female,Yes,No,Entertainment,High,Cat_6,49,9.0,2.0
Male,Yes,Yes,Lawyer,High,Cat_6,74,1.0,2.0
Male,Yes,Yes,Artist,Low,Cat_6,47,0.0,1.0
Male,No,No,Doctor,Low,Cat_3,28,0.0,4.0
Male,Yes,Yes,Artist,Average,Cat_6,51,0.0,3.0
Female,No,Yes,Artist,Low,Cat_6,45,2.0,1.0
Male,No,No,Healthcare,Low,Cat_6,21,1.0,4.0
Female,No,Yes,Engineer,Low,Cat_6,53,1.0,5.0
Female,Yes,Yes,Artist,High,Cat_6,40,0.0,2.0
Female,No,Yes,Lawyer,Low,Cat_6,65,0.0,1.0
Male,Yes,Yes,Healthcare,Average,Cat_6,47,1.0,4.0
Male,No,No,Healthcare,Low,Cat_4,25,1.0,5.0
Male,Yes,Yes,Artist,Average,Cat_6,30,0.0,2.0
Male,Yes,Yes,Homemaker,High,Cat_6,65,0.0,2.0
Female,Yes,Yes,Artist,Average,Cat_3,38,1.0,4.0
Female,Yes,No,Marketing,Low,Cat_6,29,1.0,2.0
Male,Yes,Yes,Entertainment,Low,Cat_6,63,6.0,2.0
Female,Yes,Yes,Artist,Average,Cat_4,38,1.0,2.0
Female,No,Yes,Homemaker,Low,Cat_6,38,4.0,1.0
Male,No,No,Healthcare,Low,Cat_2,19,1.0,5.0
Male,No,No,Healthcare,Low,Cat_6,18,1.0,4.0
Male,Yes,No,Executive,High,Cat_6,33,9.0,2.0
Female,Yes,No,Entertainment,Average,Cat_4,46,9.0,5.0
Female,No,Yes,Engineer,Low,Cat_3,27,9.0,7.0
Female,Yes,Yes,Lawyer,High,Cat_6,70,0.0,2.0
Female,No,Yes,Healthcare,Low,Cat_3,25,5.0,3.0
Male,No,Yes,Artist,Low,Cat_6,45,2.0,1.0
Male,Yes,No,Artist,Average,Cat_6,61,1.0,2.0
Male,Yes,Yes,Artist,Average,Cat_6,35,0.0,2.0
Female,Yes,No,Engineer,Low,Cat_1,43,1.0,5.0
Male,Yes,Yes,Artist,Low,Cat_6,36,1.0,2.0
Male,No,Yes,Artist,Low,Cat_6,25,1.0,1.0
Male,No,No,Doctor,Low,Cat_6,26,2.0,4.0
Male,Yes,No,Lawyer,Low,Cat_6,70,0.0,1.0
Female,No,Yes,Artist,Low,Cat_6,39,9.0,1.0
Female,Yes,No,Entertainment,Low,Cat_3,58,9.0,4.0
Female,Yes,Yes,Artist,Low,Cat_6,56,0.0,1.0
Male,No,Yes,Artist,Low,Cat_6,33,8.0,2.0
Female,Yes,No,Homemaker,Low,Cat_6,53,9.0,1.0
Male,No,No,Doctor,Low,Cat_6,41,1.0,3.0
Male,No,Yes,Healthcare,Low,Cat_6,28,1.0,4.0
Female,No,Yes,Artist,Low,Cat_6,52,9.0,1.0
Female,Yes,Yes,Doctor,High,Cat_4,31,9.0,2.0
Male,Yes,Yes,Executive,High,Cat_6,48,4.0,3.0
Female,No,No,Doctor,Low,Cat_3,31,1.0,5.0
Male,Yes,Yes,Entertainment,Average,Cat_6,62,2.0,6.0
Female,Yes,No,Entertainment,Average,Cat_4,32,1.0,2.0
Female,No,No,Artist,Low,Cat_6,25,6.0,3.0
Female,No,Yes,Healthcare,Low,Cat_6,33,7.0,2.0
Female,No,No,Healthcare,Low,Cat_3,18,0.0,5.0
Male,No,Yes,Artist,Low,Cat_6,39,0.0,1.0
Female,No,Yes,Artist,Low,Cat_6,37,1.0,1.0
Male,No,Yes,Entertainment,Low,Cat_6,32,1.0,2.0
Male,Yes,No,Entertainment,Average,Cat_6,46,0.0,3.0
Male,No,Yes,Artist,Low,Cat_6,35,1.0,1.0
Female,No,No,Healthcare,Low,Cat_3,18,12.0,3.0
Male,Yes,No,Entertainment,Average,Cat_6,40,14.0,3.0
Female,Yes,No,Lawyer,Low,Cat_6,69,0.0,3.0
Male,Yes,No,Executive,High,Cat_6,68,1.0,2.0
Male,No,No,Healthcare,Low,Cat_4,35,1.0,1.0
Male,Yes,Yes,Lawyer,Low,Cat_6,81,1.0,1.0
Male,Yes,Yes,Executive,High,Cat_6,48,0.0,5.0
Female,Yes,No,Entertainment,Low,Cat_3,60,9.0,4.0
Male,No,Yes,Doctor,Low,Cat_6,40,4.0,2.0
Female,No,Yes,Healthcare,Low,Cat_1,27,2.0,4.0
Female,Yes,No,Artist,Low,Cat_6,25,0.0,3.0
Female,No,No,Homemaker,Low,Cat_6,31,8.0,1.0
Female,No,Yes,Healthcare,Low,Cat_6,26,1.0,2.0
Female,No,Yes,Entertainment,Low,Cat_2,30,0.0,5.0
Male,No,Yes,Healthcare,Low,Cat_6,26,8.0,5.0
Male,Yes,Yes,Executive,High,Cat_4,45,5.0,4.0
Male,No,No,Doctor,Low,Cat_6,26,1.0,4.0
Female,Yes,Yes,Artist,Average,Cat_6,51,0.0,2.0
Female,Yes,Yes,Lawyer,High,Cat_6,77,1.0,2.0
Female,Yes,Yes,Artist,Average,Cat_6,56,0.0,2.0
Female,No,No,Healthcare,Low,Cat_3,19,1.0,2.0
Male,Yes,Yes,Entertainment,Average,Cat_4,32,1.0,2.0
Female,Yes,Yes,Lawyer,Low,Cat_6,65,1.0,1.0
Male,Yes,Yes,Artist,Average,Cat_6,62,2.0,4.0
Male,No,Yes,Artist,Low,Cat_7,40,0.0,1.0
Male,No,Yes,Doctor,Low,Cat_3,30,0.0,2.0
Female,Yes,Yes,Artist,Average,Cat_6,67,0.0,3.0
Male,Yes,Yes,Artist,Average,Cat_6,52,6.0,2.0
Female,Yes,No,Engineer,Average,Cat_6,41,4.0,2.0
Female,Yes,Yes,Artist,Average,Cat_3,48,0.0,2.0
Female,Yes,Yes,Engineer,Low,Cat_3,36,1.0,1.0
Male,No,No,Healthcare,Low,Cat_4,18,8.0,6.0
Male,Yes,Yes,Lawyer,High,Cat_6,70,1.0,3.0
Male,Yes,Yes,Marketing,Average,Cat_3,20,1.0,3.0
Male,Yes,No,Lawyer,High,Cat_6,83,0.0,2.0
Female,No,Yes,Healthcare,Low,Cat_6,27,2.0,6.0
Male,Yes,Yes,Artist,Low,Cat_6,39,1.0,3.0
Female,Yes,Yes,Healthcare,Average,Cat_6,39,8.0,2.0
Female,Yes,Yes,Artist,High,Cat_6,46,4.0,5.0
Male,No,Yes,Entertainment,Low,Cat_6,25,7.0,3.0
Female,Yes,No,Engineer,Low,Cat_3,47,8.0,1.0
Male,No,Yes,Healthcare,Low,Cat_3,22,1.0,5.0
Female,Yes,Yes,Lawyer,High,Cat_6,79,4.0,2.0
Female,No,Yes,Artist,Low,Cat_6,36,0.0,1.0
Male,Yes,No,Artist,Low,Cat_6,67,1.0,1.0
Male,Yes,Yes,Artist,Average,Cat_6,39,0.0,2.0
Female,Yes,No,Doctor,Low,Cat_6,31,1.0,4.0
Female,Yes,Yes,Artist,Average,Cat_4,30,1.0,4.0
Female,Yes,No,Marketing,Average,Cat_6,61,1.0,2.0
Female,No,No,Homemaker,Low,Cat_3,33,2.0,4.0
Male,No,Yes,Marketing,Low,Cat_7,28,9.0,5.0
Female,Yes,No,Engineer,Low,Cat_6,25,2.0,2.0
Male,Yes,No,Doctor,Average,Cat_4,39,1.0,5.0
Female,No,No,Healthcare,Low,Cat_3,28,0.0,4.0
Female,Yes,Yes,Artist,Average,Cat_6,66,0.0,3.0
Male,No,No,Healthcare,Low,Cat_6,30,4.0,4.0
Male,Yes,Yes,Executive,High,Cat_6,39,5.0,3.0
Male,Yes,Yes,Doctor,Average,Cat_6,62,0.0,2.0
Male,Yes,Yes,Entertainment,Average,Cat_6,46,1.0,3.0
Female,Yes,Yes,Engineer,Average,Cat_6,33,2.0,2.0
Female,No,No,Healthcare,Low,Cat_5,23,0.0,5.0
Female,No,No,Healthcare,Low,Cat_6,23,3.0,5.0
Male,Yes,No,Executive,High,Cat_6,22,0.0,4.0
Female,Yes,Yes,Artist,Low,Cat_2,48,0.0,3.0
Female,No,Yes,Artist,Low,Cat_6,36,3.0,3.0
Male,No,Yes,Artist,Low,Cat_6,49,0.0,1.0
Female,Yes,Yes,Doctor,Average,Cat_6,33,0.0,2.0
Male,Yes,Yes,Artist,Average,Cat_6,42,0.0,2.0
Female,Yes,No,Artist,Average,Cat_4,50,0.0,5.0
Male,No,No,Healthcare,Low,Cat_6,31,0.0,4.0
Female,Yes,Yes,Homemaker,Low,Cat_3,35,4.0,1.0
Female,Yes,Yes,Artist,High,Cat_6,84,1.0,2.0
Male,Yes,Yes,Entertainment,Low,Cat_6,55,1.0,2.0
Female,No,No,Doctor,Low,Cat_6,21,0.0,3.0
Male,Yes,Yes,Artist,Average,Cat_6,50,8.0,2.0
Male,Yes,Yes,Artist,High,Cat_6,59,1.0,2.0
Male,No,No,Marketing,Low,Cat_4,36,0.0,4.0
Male,Yes,No,Doctor,Low,Cat_6,28,8.0,2.0
Male,Yes,Yes,Entertainment,Average,Cat_3,55,0.0,4.0
Female,Yes,Yes,Marketing,Low,Cat_4,46,1.0,1.0
Male,Yes,No,Artist,Low,Cat_4,26,7.0,4.0
Male,Yes,No,Doctor,Average,Cat_3,26,4.0,3.0
Female,Yes,Yes,Doctor,Average,Cat_6,58,1.0,2.0
Male,Yes,Yes,Entertainment,Average,Cat_6,41,0.0,4.0
Male,Yes,No,Artist,Average,Cat_3,43,0.0,2.0
Female,Yes,Yes,Artist,Low,Cat_4,35,1.0,2.0
Female,Yes,Yes,Artist,Average,Cat_4,37,0.0,2.0
Male,No,No,Healthcare,Low,Cat_4,20,1.0,6.0
Male,Yes,Yes,Lawyer,Low,Cat_6,80,1.0,1.0
Male,Yes,Yes,Executive,Average,Cat_6,48,1.0,4.0
Female,No,Yes,Artist,Low,Cat_6,27,14.0,3.0
Female,Yes,Yes,Artist,Average,Cat_6,35,1.0,3.0
Male,Yes,Yes,Artist,Average,Cat_6,41,8.0,2.0
Male,Yes,No,Executive,Low,Cat_6,43,3.0,2.0
Female,Yes,Yes,Artist,Low,Cat_6,41,3.0,2.0
Female,No,Yes,Entertainment,Low,Cat_6,28,0.0,2.0
Female,No,No,Engineer,Low,Cat_3,23,11.0,1.0
Female,No,Yes,Doctor,Low,Cat_6,42,0.0,3.0
Female,Yes,Yes,Doctor,Average,Cat_6,51,0.0,3.0
Male,Yes,No,Artist,Average,Cat_2,43,0.0,4.0
Female,Yes,Yes,Artist,Average,Cat_5,69,2.0,9.0
Female,No,No,Healthcare,Low,Cat_6,23,1.0,3.0
Female,Yes,Yes,Engineer,High,Cat_4,52,4.0,2.0
Male,No,Yes,Artist,Low,Cat_6,31,9.0,1.0
Female,No,No,Marketing,Low,Cat_4,32,1.0,1.0
Female,Yes,Yes,Artist,Average,Cat_2,41,1.0,2.0
Female,Yes,Yes,Healthcare,Low,Cat_6,43,9.0,2.0
Male,No,Yes,Artist,Low,Cat_6,39,0.0,3.0
Male,Yes,Yes,Engineer,Average,Cat_6,48,1.0,5.0
Male,Yes,No,Lawyer,High,Cat_6,65,1.0,2.0
Female,No,Yes,Marketing,Low,Cat_1,31,8.0,2.0
Female,Yes,Yes,Artist,Low,Cat_4,62,1.0,4.0
Male,No,Yes,Healthcare,Low,Cat_2,26,1.0,3.0
Female,No,No,Doctor,Low,Cat_6,25,1.0,3.0
Male,Yes,Yes,Lawyer,Low,Cat_6,76,1.0,2.0
Male,Yes,Yes,Doctor,Average,Cat_1,37,1.0,2.0
Male,No,No,Healthcare,Low,Cat_6,26,0.0,3.0
Male,Yes,No,Lawyer,Low,Cat_6,88,1.0,1.0
Female,Yes,No,Engineer,Low,Cat_6,57,0.0,1.0
Male,No,No,Doctor,Low,Cat_7,21,6.0,6.0
Male,Yes,Yes,Entertainment,Average,Cat_6,60,1.0,3.0
Female,No,Yes,Healthcare,Low,Cat_1,41,12.0,1.0
Male,Yes,No,Artist,Average,Cat_6,51,3.0,2.0
Male,Yes,Yes,Lawyer,High,Cat_6,79,0.0,2.0
Male,No,Yes,Artist,Low,Cat_6,38,0.0,2.0
Male,Yes,No,Executive,High,Cat_6,50,0.0,5.0
Male,Yes,Yes,Homemaker,Average,Cat_3,41,2.0,3.0
Male,No,Yes,Healthcare,Low,Cat_6,25,0.0,1.0
Female,Yes,Yes,Lawyer,High,Cat_6,79,1.0,2.0
Male,Yes,Yes,Engineer,Average,Cat_6,51,1.0,5.0
Male,Yes,Yes,Entertainment,Average,Cat_6,43,0.0,4.0
Male,No,No,Healthcare,Low,Cat_6,27,0.0,1.0
Female,Yes,Yes,Engineer,Low,Cat_4,38,4.0,2.0
Male,No,Yes,Doctor,Low,Cat_6,25,8.0,1.0
Female,No,Yes,Doctor,Low,Cat_6,29,10.0,5.0
Female,Yes,No,Entertainment,High,Cat_6,87,0.0,2.0
Male,Yes,Yes,Entertainment,Low,Cat_6,35,6.0,3.0
Female,Yes,Yes,Lawyer,High,Cat_6,65,0.0,3.0
Female,No,No,Healthcare,Low,Cat_6,22,9.0,4.0
Female,No,Yes,Artist,Low,Cat_6,43,14.0,2.0
Female,No,Yes,Artist,Low,Cat_6,35,0.0,3.0
Male,No,Yes,Healthcare,Low,Cat_6,27,1.0,4.0
Female,No,No,Homemaker,Low,Cat_3,26,0.0,6.0
Female,Yes,No,Lawyer,High,Cat_6,76,1.0,2.0
Male,No,Yes,Artist,Low,Cat_4,36,4.0,1.0
Male,Yes,Yes,Artist,Average,Cat_2,35,4.0,2.0
Male,Yes,No,Healthcare,Average,Cat_6,32,0.0,4.0
Female,Yes,Yes,Artist,Average,Cat_6,52,1.0,5.0
Male,No,Yes,Entertainment,Low,Cat_6,37,1.0,1.0
Male,Yes,Yes,Doctor,Average,Cat_6,50,0.0,3.0
Female,Yes,Yes,Artist,Average,Cat_6,49,1.0,3.0
Male,Yes,Yes,Doctor,Low,Cat_6,57,1.0,1.0
Male,Yes,No,Entertainment,Average,Cat_6,48,1.0,5.0
Female,No,Yes,Homemaker,Low,Cat_6,43,9.0,2.0
Male,No,No,Healthcare,Low,Cat_6,22,6.0,4.0
Male,Yes,Yes,Artist,Average,Cat_6,56,1.0,2.0
Female,Yes,Yes,Artist,High,Cat_6,60,1.0,4.0
